,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
422,ITP 134 VISUAL C++ PROGRAMMING I,Provides instruction in fundamentals of object-oriented programming and design using C++ for GUI applications. Emphasizes software design and construction using the concepts of foundation classes.,CSCI 141,Introduction to Programming,"Corequisite(s): CSCI 141L. NQR An introduction to computer programming and computational problem solving. Students will learn to create algorithmic solutions to problems and to express their solutions as computer programs. Programming assignments will focus on problems taken from the computational and data sciences, the natural sciences, the social sciences, and business. The course will cover programming fundamentals including values, variables, data types, expressions, conditional and iterative execution, and function definitions. It will also require students to make use of existing software libraries for their solutions to problems, and will culminate in an introduction to the basics of object-oriented programming. Students can receive credit for one of the following: CSCI 140, CSCI 141, or DATA 141."
423,ITP 136 C# PROGRAMMING I,"Presents instruction in fundamentals of object-oriented programming and design using C#. Emphasizes program construction, algorithm development, coding, debugging, and documentation of applications within the .NET framework.",CSCI 141,Introduction to Programming,"Corequisite(s): CSCI 141L. NQR An introduction to computer programming and computational problem solving. Students will learn to create algorithmic solutions to problems and to express their solutions as computer programs. Programming assignments will focus on problems taken from the computational and data sciences, the natural sciences, the social sciences, and business. The course will cover programming fundamentals including values, variables, data types, expressions, conditional and iterative execution, and function definitions. It will also require students to make use of existing software libraries for their solutions to problems, and will culminate in an introduction to the basics of object-oriented programming. Students can receive credit for one of the following: CSCI 140, CSCI 141, or DATA 141."
424,ITP 137 PROGRAMMING IOS DEVICES,"Examines object-oriented Objective C design and programming concepts for Mac OS X, iPhone and iPad.  Introduces the tools and APIs for the latest iOS SDK, and how they fit together to build full-featured iOS and Mac OS X applications.",,,
425,ITP 140 CLIENT SIDE SCRIPTING,"Provides instruction in fundamentals of Internet application design, development, and deployment using client side scripting language(s).",,,
426,ITP 150 PYTHON PROGRAMMING,"Entails instruction in fundamentals of object-oriented programming using Python.  Emphasizes program construction, algorithm development, coding, debugging, and documentation of Python applications.",CSCI 141,Introduction to Programming,"Corequisite(s): CSCI 141L. NQR An introduction to computer programming and computational problem solving. Students will learn to create algorithmic solutions to problems and to express their solutions as computer programs. Programming assignments will focus on problems taken from the computational and data sciences, the natural sciences, the social sciences, and business. The course will cover programming fundamentals including values, variables, data types, expressions, conditional and iterative execution, and function definitions. It will also require students to make use of existing software libraries for their solutions to problems, and will culminate in an introduction to the basics of object-oriented programming. Students can receive credit for one of the following: CSCI 140, CSCI 141, or DATA 141."
427,ITP 154 BASIC PROGRAMMING I,Description not found,,,
428,ITP 158 MICRO ASSEMBLER I,Description not found,,,
429,ITP 160 INTRO TO GAME DESIGN AND DEVELOPMENT,"Introduces object-oriented game design and development. Provides overview of the electronic game design and development process and underlines the historical contest, content creation strategies, game careers, and future trends in the industry. Utilizes a game language environment to introduce game design, object-oriented paradigms, software design, software development and product testing. Teaches skills of writing a game design document and creating a game with several levels and objects. Integrate 2D animations, 3D models, sound effects, and background music as well as graphic backgrounds.",,,
430,ITP 165 GAMING AND SIMULATION,"Introduces students to the concepts and applications of gaming and simulation through the use of gaming and simulation tools, as well as through basic programming skills.",,,
431,ITP 200 DATA STRUCTURE AND ALGORITHMS,Description not found,,,
432,ITP 210 VISUAL BASIC PROGRAMMING II,Description not found,,,
433,ITP 214 WINDOWS MOVILE DEVELOPMENT,Provides skills for creating mobile enterprise solutions by using the Smart Device Extensions for Microsoft Visual Studio .NET and the Microsoft .NET Compact Framework for wireless devices. Develops systems including mobile phones and a range of rich hand-held devices such as PDAs using applications utilizing the .NET Compact Framework. Covers Enterprise business applications and game applications.,,,
434,ITP 215 XML WEB SERVICES,Description not found,,,
435,ITP 220 JAVA PROGRAMMING II,"Imparts instruction in application of advanced object-oriented techniques to application development using Java. Emphasizes database connectivity, inner classes, collection classes, networking, and threads.",,,
436,ITP 224 MOBILE JAVA ME,Description not found,,,
437,ITP 225 WEB SCRIPTING LANGUAGES,"Introduces students to the principles, systems, and tools used to implement Web applications. Provides students with a comprehensive introduction to the programming tools and skills required to build and maintain interactive Web sites. Students will develop Web applications utilizing client-side and server-side scripting languages along with auxiliary tools needed for complete applications.",,,
438,ITP 226 MOBILE JAVA ANDROID DEVELOPMENT,"Provides the necessary design and programming skills required for developing applications on mobile devices (smartphones, tablets, etc.). Utilize the Java-based Android Development Kit to create Android applications, from concept to business model to final product.",,,
439,ITP 232 C++ PROGRAMMING II,Presents in-depth instruction of advanced object-oriented techniques for data structures using C++.,,,
440,ITP 234 VISUAL C++ PROGRAMMING II,Description not found,,,
441,ITP 236 C# PROGRAMMING II,Focuses instruction in advanced object-oriented techniques using C# for application development. Emphasizes database connectivity and networking using the .NET Framework.,,,
442,ITP 240 SERVER SIDE PROGRAMMING,"Centers around instruction in fundamentals of Internet application design, development, and deployment. Includes implementation of server component models, security, and database connectivity using server-side programming.",,,
443,ITP 242 ASP SERVER SIDE SCRIPTING,Description not found,,,
444,ITP 244 ASP.NET SERVER SIDE PROGRAMMING,"Entails instruction in creation of ASP.NET Web applications to deliver dynamic content to a Web site utilizing server controls, web forms, and web services to accomplish complex data access tasks.",,,
445,ITP 246 JAVA SERVER SIDE PROGRAMMING,"Provides instruction in application and integration of web-based clients and server-side java to three-tier business applications. Includes us of tools UML, XML, Java servlets, JSPs, and JDBC database access.",,,
446,ITP 247 NATIVE MOBILE PROGRAMMING,Description not found,,,
447,ITP 251 SYSTEMS ANALYSIS AND DESIGN,"Focuses on application of information technologies (IT) to system life cycle methodology, systems analysis, systems design, and system implementation practices. Covers methodologies related to identification of information requirements, feasibility in the areas of economic, technical and social requirements, and related issues are included in course content. Software applications may be used to enhance student skills.",,,
448,ITP 258 SYSTEMS DEVELOPMENT PROJECT,"Provides instruction in application of life cycle system development methodologies using a case study which incorporates feasibility study system analysis, system design, program specification, and implementation planning. Course project assignment(s) will have students perform as members of system development teams.",,,
449,ITP 260 CONCEPTS OF SIMULATION,Description not found,,,
450,ITP 265 APPLICATIONS OF MODELING AND SIMULATION,Expands understanding of Modeling and Simulation via the implementation of a capstone project.  Continues to develop object oriented programming skills.  Expands three dimensional visualization skills.  Examines all aspects of the project lifecycle.  Develops workplace readiness for the Modeling and Simulation industry.,,,
451,ITA 101 BEGINNING ITALIAN,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
452,ITA 102 BEGINNING ITALIAN,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
453,ITA 201 INTERMEDIATE ITALIAN,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
454,ITA 202 INTERMEDIATE ITALIAN,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",,,
455,JPN 101 ELEMENTARY JAPANESE,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
456,JPN 102 ELEMENTARY JAPANESE,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
457,JPN 201 INTERMEDIATE JAPANESE,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
458,JPN 202 INTERMEDIATE JAPANESE,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",,,
459,LAT 101 ELEMENTARY LATIN I,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
460,LAT 102 ELEMENTARY LATIN II,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
461,LAT 201 INTERMEDIATE LATIN I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
462,LAT 202 INTERMEDIATE LATIN II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",,,
463,LGL 235 LEGAL ASPECTS OF BUSINESS ORGANIZATIONS,"Studies fundamental principles of agency law and the formation of business organizations. Includes sole proprietorships, partnerships, corporation, limited liability companies, and other business entities. Reviews preparation of the documents necessary for the organization and operation of businesses.",BUAD 342,Commercial Law and Business Organizations,"A study of the law of business organizations, their activities and management. Substantive areas of law covered include: partnerships, corporations; securities, mergers and acquisitions; commercial paper and secured transactions; real and personal property; bailments, antitrust law and creditorsâ rights."
464,LBR 105 LIBRARY SKILLS FOR RESEARCH,"Introduces students to accessing, retrieving, evaluating, and applying a variety of digital and print information resources.  Develops an understanding of the type of information provided in each of the information formats presented:  reference, cataloged materials, magazines/journals, newspapers, and Internet sites.  Provides background information, available resources, search techniques, sample searches, evaluation guides, and exams in each of the course units.",INTR 322,Introduction to Library Resources,"Course Objectives: to gain an understanding of the role of libraries and information in American culture and society today; to acquire a theoretical and logical approach to information gathering; to learn the practical skills of identifying, locating, evaluating, and effectively using print and electronic information sources."
465,MAR 101 GENERAL OCEANOGRAPHY I,Surveys physical and biological oceanography including an introduction to geological and chemical oceanography.  Part I of II.,MSCI 330,Introduction to Marine Science,"Prerequisite(s): Select at least one course from the following list: BIOL 203 or BIOL 204 or CHEM 103 or CHEM 205 or GEOL 101 or GEOL 110 or PHYS 101 or PHYS 101H or PHYS 107 NQR CSI This COLL 200 course provides an overview of physical, chemical, geological and biological processes operating in the world ocean. The interdisciplinary nature of marine science is emphasized, providing an integrated view of factors that control ocean history, circulation, chemistry, and biological productivity. Mechanisms of global change and implications for human society are interwoven throughout the course. Cross-listed with: BIOL 330 and ENSP 230 and GEOL 330"
466,MAR 102 GENERAL OCEANOGRAPHY II,Surveys physical and biological oceanography including an introduction to geological and chemical oceanography.  Part II of II.,,,
467,MAR 121 BIOLOGICAL OCEANOGRAPHY I,Description not found,,,
468,MAR 130 MARINE MAINTENANCE MECHANICS,"Introduces the various subjects comprising the study of mechanics to meet the unique requirements of marine practice. Includes basic nomenclature, construction and function of hulls, motive power principles, propellers, steering systems, controls, electrical equipment, instruments, and accessories.",,,
469,MAR 201 MARINE ECOLOGY I,"Applies ecological concepts to marine habitats, with emphasis on marine systems within the Chesapeake Bay area. Laboratory and field work may include the investigation of reachable habitats and the collection, observation and identification of local marine fauna and flora. Part I of II.",,,
470,MAR 202 MARINE ECOLOGY II,"Applies ecological concepts to marine habitats, with emphasis on marine systems within the Chesapeake Bay area. Laboratory and field work may include the investigation of reachable habitats and the collection, observation and identification of local marine fauna and flora. Part II of II.",,,
471,"MTH 115 TECHNICAL MATHEMATICS I TAKEN WITH
MTH 116 TECHNICAL MATHEMATICS II",Description not found,MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
472,MTH 128 MATHEMATICAL MODELING IN THE SCIENCES I,Description not found,,,
473,MTH 146 INTRODUCTION TO ELEMENTARY STATISTICS,Description not found,,,
474,MTH 154 QUANTITATIVE REASONING,"Presents topics in proportional reasoning, modeling, financial literacy and validity studies (logic and set theory). Focuses on the process of taking a real-world situation, identifying the mathematical foundation needed to address the problem, solving the problem and applying what is learned to the original situation. This is a Passport and UCGS transfer course.",,,
475,MTH 155 STATISTICAL REASONING,"Presents elementary statistical methods and concepts including visual data presentation, descriptive statistics, probability, estimation, hypothesis testing, correlation and linear regression. Emphasis is placed on the development of statistical thinking, simulation, and the use of statistical software. Credit will not be awarded for bothMTH 155: Statistical Reasoning andMTH 245: Statistics I or equivalent. This is a Passport and UCGS transfer course.",MATH 106,Elementary Probability and Statistics,"College Curriculum: MATH Introduction to basic concepts and procedures of probability and statistics including descriptive statistics, probability, classical distributions, estimation, hypothesis testing, correlation and regression, in the context of practical applications to data analysis from other disciplines. Not open to students who have successfully completed a mathematics course numbered above 210."
476,MTH 157 ELEMENTARY STATISTICS,Description not found,MATH 106,Elementary Probability and Statistics,"College Curriculum: MATH Introduction to basic concepts and procedures of probability and statistics including descriptive statistics, probability, classical distributions, estimation, hypothesis testing, correlation and regression, in the context of practical applications to data analysis from other disciplines. Not open to students who have successfully completed a mathematics course numbered above 210."
477,"MTH 161 PRECALCULUS I TAKEN WITH
MTH 162 PRECALCULUS II","Presents topics in power, polynomial, rational, exponential, and logarithmic functions, and systems of equations and inequalities. Credit will not be awarded for bothMTH 161: Precalculus I andMTH 167: Precalculus with Trigonometry or equivalent. This is a Passport and UCGS transfer course.",MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
478,"MTH 163 PRECALCULUS I TAKEN WITH
MTH 164 PRECALCULUS II",Description not found,MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
479,"MTH 166 PRECALCULUS WITH TRIGONOMETRY TAKEN WITH
MTH 167 PRECALCULUS WITH TRIGONOMETRY",Description not found,MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
480,MTH 167 PRECALCULUS WITH TRIGONOMETRY,"Presents topics in power, polynomial, rational, exponential, and logarithmic functions, systems of equations, trigonometry, and trigonometric applications, including Law of Sines and Cosines, and an introduction to conics. Credit will not be awarded for bothMTH 167: Precalculus with Trigonometry andMTH 161/MTH 162: Precalculus I and II or equivalent. This is a Passport and UCGS transfer course.",MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
481,MTH 168 PRECALCULUS II WITH INTRODUCTORY CALCULUS,Description not found,MATH 103,Pre-calculus Mathematics,"A study of the real number system, sets, functions, graphs, equations, inequalities and systems of equations, followed by a study of the trigonometric functions and their properties. This course is designed only for students intending to take Math 108 or Math 111, and whose background is deficient in algebra and trigonometry. Juniors and seniors must obtain permission from the instructor to enroll. This course may not be applied toward either the minor or major in mathematics or the satisfaction of GER requirements. A student may not receive credit for this course after successfully completing a Mathematics course numbered higher than 107, with the exception of Math 150."
482,MTH 169 INTRODUCTION TO CRYPTOGRAPHY,Description not found,,,
483,MTH 170 FOUNDATIONS IN CONTEMPORARY MATHEMATICS,Description not found,,,
484,MTH 173 CALCULUS WITH ANALYTIC GEOMETRY I,Description not found,MATH 111,Calculus I,"NQR Standard functions (linear, polynomial, trigonometric, exponential, logarithmic) and their graphs. Tangents, derivatives, the definite integral and the fundamental theorem. Formulas for differentiation. Applications to physics, chemistry, geometry and economics. Requires graphing calculator. Concurrent enrollment in Math 111 calculus lab required. Students may not receive credit for more than one of Math 108, 111, and 131."
485,MTH 174 CALCULUS WITH ANALYTIC GEOMETRY II,Description not found,MATH 112,Calculus II,"Prerequisite(s): MATH 111 or MATH 131 . College Curriculum: MATH Methods of integration. Applications of the integral to geometry, chemistry, physics and economics. Slope fields and the qualitative behavior of solutions to differential equations. Approximations: sequences, series, and Taylor series. Concurrent enrollment in Math 112 Maple or Matlab calculus lab required. Students may not receive credits for more than one of Math 112 and 132."
486,MTH 175 CALCULUS OF ONE VARIABLE I,Description not found,MATH 111,Calculus I,"NQR Standard functions (linear, polynomial, trigonometric, exponential, logarithmic) and their graphs. Tangents, derivatives, the definite integral and the fundamental theorem. Formulas for differentiation. Applications to physics, chemistry, geometry and economics. Requires graphing calculator. Concurrent enrollment in Math 111 calculus lab required. Students may not receive credit for more than one of Math 108, 111, and 131."
487,MTH 176 CALCULUS OF ONE VARIABLE II,Description not found,MATH 112,Calculus II,"Prerequisite(s): MATH 111 or MATH 131 . College Curriculum: MATH Methods of integration. Applications of the integral to geometry, chemistry, physics and economics. Slope fields and the qualitative behavior of solutions to differential equations. Approximations: sequences, series, and Taylor series. Concurrent enrollment in Math 112 Maple or Matlab calculus lab required. Students may not receive credits for more than one of Math 112 and 132."
488,MTH 177 INTRODUCTORY LINEAR ALGEBRA,Description not found,,,
489,MTH 180 FINITE MATHEMATICS,Description not found,,,
490,MTH 181 FINITE MATHEMATICS I,Description not found,,,
491,MTH 182 FINITE MATHEMATICS II,Description not found,,,
492,MTH 200 ABSTRACT ALGEBRA,Description not found,,,
493,MTH 240 STATISTICS,Description not found,ECON 307,Principles and Methods of Statistics,"Prerequisite(s): ECON 101 , ECON 102 College Curriculum: ACTV, MATH A study of the principles and uses of descriptive statistics, probability distributions, sampling distributions, statistical inference, hypothesis testing and regression analysis. Cannot enroll in Econ 307 after taking or while taking Econ 308. Note: See section heading âStatisticsâ under âRequirements for the Baccalaureate Degree.â"
494,"MTH 241 STATISTICS I TAKEN WITH
MTH 242 STATISTICS II",Description not found,BIOL 327,Introduction to Biostatistics,"Prerequisite(s): BIOL 203 and BIOL 204 and MATH 111 (or MATH 131). An introduction to statistics and research design, including statistical inference, hypothesis testing, descriptive statistics and commonly used statistical tests. Emphasis is placed on the application of quantitative techniques in the biological sciences and solution methods via use of the computer. Includes a separate lab (BIOL 327L) when offered as a 4 credit course."
495,MTH 243 PROBABILITY AND STATISTICS I,Description not found,MATH 351,Probability and Statistics for Scientists,"Prerequisite(s): MATH 112 or MATH 132 . Basic concepts in probability and statistical inference. Topics include: probability laws, counting techniques, discrete and continuous random variables, probability and cumulative distribution functions, sampling distributions, central limit theorem, point estimation, confidence intervals and one and two-sample tests of hypotheses. Mathematics majors are encouraged to take the more theoretical courses Math 451 and Math 452. Math 351 cannot not be taken concurrently with Math 451, nor after receiving credit for Math 451."
496,MTH 244 PROBABILITY AND STATISTICS II,Description not found,MATH 352,Statistical Data Analysis,"Prerequisite(s): MATH 351 or MATH 451 Concepts in statistical data analysis. Topics include: simple and multiple linear regression, nonlinear regression, experimental design, nonparametric statistics and the use of statistical software. Other selected topics for statistical data analysis in order to provide a more in-depth exposure to the practice of statistics."
497,MTH 245 STATISTICS I,"Presents an overview of statistics, including descriptive statistics, elementary probability, probability distributions, estimation, hypothesis testing, correlation, and linear regression. Credit will not be awarded for bothMTH 155: Statistical Reasoning andMTH 245: Statistics I or equivalent. This is a Passport and UCGS transfer course.",BIOL 327,Introduction to Biostatistics,"Prerequisite(s): BIOL 203 and BIOL 204 and MATH 111 (or MATH 131). An introduction to statistics and research design, including statistical inference, hypothesis testing, descriptive statistics and commonly used statistical tests. Emphasis is placed on the application of quantitative techniques in the biological sciences and solution methods via use of the computer. Includes a separate lab (BIOL 327L) when offered as a 4 credit course."
498,MTH 246 STATISTICS II,"Continues the study of estimation and hypothesis testing with emphasis on advanced regression topics, experimental design, analysis of variance, chi-square tests and non-parametric methods.",,,
499,MTH 250 COLLEGE GEOMETRY,Description not found,,,
500,MTH 261 APPLIED CALCULUS I,"Introduces limits, continuity, differentiation and integration of algebraic, exponential and logarithmic functions, and techniques of integration with an emphasis on applications in business, social sciences and life sciences. This is a Passport and UCGS transfer course.",,,
501,MTH 262 APPLIED CALCULUS II,"Covers techniques of integration, an introduction to differential equations and multivariable calculus, with an emphasis throughout on applications in business, social sciences and life sciences.",MATH 108,Brief Calculus with Applications,"College Curriculum: MATH An introduction to the calculus of polynomial, rational, exponential and logarithmic functions, including some multi-variable calculus, with applications in business, social and life sciences. Algebra proficiency required. Maple or Matlab may be used in the course. Students may not receive credit for more than one of Math 108, 111, and 131, and may not receive credit for Math 108 after receiving credit for any Mathematics course numbered higher than 108, with the exception of Math 150. To use Math 108 as a prerequisite for Math 112 or 132, students need approval of the department chair."
502,MTH 263 CALCULUS I,"Presents concepts of limits, derivatives, differentiation of various types of functions and use of differentiation rules, application of differentiation, antiderivatives, integrals and applications of integration. This is a Passport and UCGS transfer course.",MATH 111,Calculus I,"NQR Standard functions (linear, polynomial, trigonometric, exponential, logarithmic) and their graphs. Tangents, derivatives, the definite integral and the fundamental theorem. Formulas for differentiation. Applications to physics, chemistry, geometry and economics. Requires graphing calculator. Concurrent enrollment in Math 111 calculus lab required. Students may not receive credit for more than one of Math 108, 111, and 131."
503,MTH 264 CALCULUS II,"Continues the study of calculus of algebraic and transcendental functions including rectangular, polar, and parametric graphing, indefinite and definite integrals, methods of integration, and power series along with applications. Features instruction for mathematical, physical and engineering science programs. This is a UCGS transfer course.",MATH 112,Calculus II,"Prerequisite(s): MATH 111 or MATH 131 . College Curriculum: MATH Methods of integration. Applications of the integral to geometry, chemistry, physics and economics. Slope fields and the qualitative behavior of solutions to differential equations. Approximations: sequences, series, and Taylor series. Concurrent enrollment in Math 112 Maple or Matlab calculus lab required. Students may not receive credits for more than one of Math 112 and 132."
504,MTH 265 CALCULUS III,"Focuses on extending the concepts of function, limit, continuity, derivative, integral and vector from the plane to the three dimensional space. Covers topics including vector functions, multivariate functions, partial derivatives, multiple integrals and an introduction to vector calculus. Features instruction for mathematical, physical and engineering science programs.",MATH 212,Introduction to Multivariable Calculus,"Prerequisite(s): Prerequisite: MATH 112 or MATH 132 . Functions of several variables, surfaces in three-space, vectors, techniques of partial differentiation and multiple integration with applications. MAPLE or Matlab will be used in this course. Students may not receive credit for both Math 212 and 213."
505,MTH 266 LINEAR ALGEBRA,"Covers matrices, vector spaces, determinants, solutions of systems of linear equations, basis and dimension, eigenvalues, and eigenvectors. Features instruction for mathematical, physical and engineering science programs.",MATH 211,Linear Algebra,"Prerequisite(s): Prerequisite: MATH 112 or MATH 132 . Linear equations, matrices, determinants, vector spaces, linear transformations, eigenvalues, orthogonality. Optional topics include least squares problems, matrix factorization, applications. A computer lab using the software package Matlab may accompany the class. Note: Students may not take both Math 210 and Math 211 for credit."
506,MTH 267 DIFFERENTIAL EQUATIONS,"Introduces ordinary differential equations. Includes first order differential equations, second and higher order ordinary differential equations with applications and numerical methods.",,,
507,MTH 270 APPLIED CALCULUS,Description not found,MATH 108,Brief Calculus with Applications,"College Curriculum: MATH An introduction to the calculus of polynomial, rational, exponential and logarithmic functions, including some multi-variable calculus, with applications in business, social and life sciences. Algebra proficiency required. Maple or Matlab may be used in the course. Students may not receive credit for more than one of Math 108, 111, and 131, and may not receive credit for Math 108 after receiving credit for any Mathematics course numbered higher than 108, with the exception of Math 150. To use Math 108 as a prerequisite for Math 112 or 132, students need approval of the department chair."
508,MTH 271 APPLIED CALCULUS I,Description not found,MATH 111,Calculus I,"NQR Standard functions (linear, polynomial, trigonometric, exponential, logarithmic) and their graphs. Tangents, derivatives, the definite integral and the fundamental theorem. Formulas for differentiation. Applications to physics, chemistry, geometry and economics. Requires graphing calculator. Concurrent enrollment in Math 111 calculus lab required. Students may not receive credit for more than one of Math 108, 111, and 131."
509,MTH 272 APPLIED CALCULUS II,Description not found,MATH 112,Calculus II,"Prerequisite(s): MATH 111 or MATH 131 . College Curriculum: MATH Methods of integration. Applications of the integral to geometry, chemistry, physics and economics. Slope fields and the qualitative behavior of solutions to differential equations. Approximations: sequences, series, and Taylor series. Concurrent enrollment in Math 112 Maple or Matlab calculus lab required. Students may not receive credits for more than one of Math 112 and 132."
510,MTH 273 CALCULUS I,Description not found,MATH 111,Calculus I,"NQR Standard functions (linear, polynomial, trigonometric, exponential, logarithmic) and their graphs. Tangents, derivatives, the definite integral and the fundamental theorem. Formulas for differentiation. Applications to physics, chemistry, geometry and economics. Requires graphing calculator. Concurrent enrollment in Math 111 calculus lab required. Students may not receive credit for more than one of Math 108, 111, and 131."
511,MTH 274 CALCULUS II,Description not found,MATH 112,Calculus II,"Prerequisite(s): MATH 111 or MATH 131 . College Curriculum: MATH Methods of integration. Applications of the integral to geometry, chemistry, physics and economics. Slope fields and the qualitative behavior of solutions to differential equations. Approximations: sequences, series, and Taylor series. Concurrent enrollment in Math 112 Maple or Matlab calculus lab required. Students may not receive credits for more than one of Math 112 and 132."
512,MTH 275 MULTIVARIABLE CALCULUS AND LINEAR ALGEBRA,Description not found,MATH 212,Introduction to Multivariable Calculus,"Prerequisite(s): Prerequisite: MATH 112 or MATH 132 . Functions of several variables, surfaces in three-space, vectors, techniques of partial differentiation and multiple integration with applications. MAPLE or Matlab will be used in this course. Students may not receive credit for both Math 212 and 213."
513,MTH 277 VECTOR CALCULUS,Description not found,MATH 212,Introduction to Multivariable Calculus,"Prerequisite(s): Prerequisite: MATH 112 or MATH 132 . Functions of several variables, surfaces in three-space, vectors, techniques of partial differentiation and multiple integration with applications. MAPLE or Matlab will be used in this course. Students may not receive credit for both Math 212 and 213."
514,MTH 279 ORDINARY DIFFERENTIAL EQUATIONS,Description not found,,,
515,MTH 280 COLLEGE GEOMETRY,"Presents topics in Euclidean and non-Euclidean geometries chosen to prepare individuals for teaching geometry at the high school level or for other areas of study applying geometric principles. Studies Euclid's geometry and its limitations, axiomatic systems, techniques of proof, and Hilbert's geometry, including the parallel postulates for Euclidean, hyperbolic, and elliptic geometries.",,,
516,MTH 281 INTRODUCTORY ABSTRACT ALGEBRA,"Introduces groups, isomorphisms, fields, homomorphisms, rings, and integral domains. Applicable to some education licensure programs; not intended for STEM majors.",,,
517,MTH 282 INTRO TO HIGHER MATHEMATICS,Description not found,,,
518,MTH 283 PROBABILITY AND STATISTICS,"Presents basic concepts of probability, discrete and continuous random variables, and probability distributions.  Presents sampling distributions and the Central Limit Theorem, properties of point estimates and methods of estimation, confidence intervals, hypothesis testing, linear models and estimation by least squares, and analysis of variance.",MATH 351,Probability and Statistics for Scientists,"Prerequisite(s): MATH 112 or MATH 132 . Basic concepts in probability and statistical inference. Topics include: probability laws, counting techniques, discrete and continuous random variables, probability and cumulative distribution functions, sampling distributions, central limit theorem, point estimation, confidence intervals and one and two-sample tests of hypotheses. Mathematics majors are encouraged to take the more theoretical courses Math 451 and Math 452. Math 351 cannot not be taken concurrently with Math 451, nor after receiving credit for Math 451."
519,MTH 285 LINEAR ALGEBRA,Description not found,MATH 211,Linear Algebra,"Prerequisite(s): Prerequisite: MATH 112 or MATH 132 . Linear equations, matrices, determinants, vector spaces, linear transformations, eigenvalues, orthogonality. Optional topics include least squares problems, matrix factorization, applications. A computer lab using the software package Matlab may accompany the class. Note: Students may not take both Math 210 and Math 211 for credit."
